time_s,ai_v,ai1_v,selected_signal_v,di,di0,di1,potentiometer,proximity,switch,limit_ok
1.2,-4.805165589908079,,-4.805165589908079,1,,,0.25974172050459604,0,1,False
1.21,-4.936382287345885,,-4.936382287345885,1,,,0.25318088563270574,0,1,False
1.22,-5.8915970784164395,,-5.8915970784164395,1,,,0.20542014607917802,0,1,False
1.23,-5.911087564515238,,-5.911087564515238,1,,,0.20444562177423808,0,1,False
1.24,-5.708196166021214,,-5.708196166021214,1,,,0.2145901916989393,0,1,False
1.25,-6.344741479750125,,-6.344741479750125,1,,,0.18276292601249375,0,1,False
1.26,-6.07405454063255,,-6.07405454063255,1,,,0.19629727296837252,0,1,False
1.27,-6.303280862397323,,-6.303280862397323,1,,,0.18483595688013382,0,1,False
1.28,-6.846690347164527,,-6.846690347164527,1,,,0.15766548264177366,0,1,False
1.29,-6.535520264996276,,-6.535520264996276,1,,,0.17322398675018622,0,1,False
1.3,-6.925726124742182,,-6.925726124742182,1,,,0.1537136937628909,0,1,False
1.31,-7.4097984505660435,,-7.4097984505660435,1,,,0.12951007747169782,0,1,False
1.32,-7.944672053940835,,-7.944672053940835,1,,,0.10276639730295827,0,1,False
1.33,-7.384506185366498,,-7.384506185366498,1,,,0.13077469073167508,0,1,False
1.34,-7.967028309429997,,-7.967028309429997,1,,,0.10164858452850015,0,1,False
1.35,-8.402702608160661,,-8.402702608160661,1,,,0.07986486959196695,0,1,False
1.36,-8.40604882263732,,-8.40604882263732,1,,,0.07969755886813398,0,1,False
1.37,-7.684729604865458,,-7.684729604865458,1,,,0.11576351975672709,0,1,False
1.38,-7.819273505775371,,-7.819273505775371,1,,,0.10903632471123145,0,1,False
1.39,-8.108491778481559,,-8.108491778481559,1,,,0.09457541107592204,0,1,False
1.4,-8.540888578518995,,-8.540888578518995,1,,,0.07295557107405024,0,1,False
1.41,-9.040687047480517,,-9.040687047480517,1,,,0.04796564762597413,0,1,False
1.42,-9.045943589896487,,-9.045943589896487,1,,,0.04770282050517567,0,1,False
1.43,-9.245959707004504,,-9.245959707004504,1,,,0.03770201464977481,0,1,False
1.44,-8.536735035243987,,-8.536735035243987,1,,,0.07316324823780063,0,1,False
1.45,-9.167192135009948,,-9.167192135009948,1,,,0.0416403932495026,0,1,False
1.46,-9.161412193556563,,-9.161412193556563,1,,,0.04192939032217184,0,1,False
1.47,-9.071094403335154,,-9.071094403335154,1,,,0.046445279833242294,0,1,False
1.48,-9.296875559695252,,-9.296875559695252,1,,,0.0351562220152374,0,1,False
1.49,-8.713956113061753,,-8.713956113061753,1,,,0.06430219434691234,0,1,False
1.5,-9.555493716235135,,-9.555493716235135,1,,,0.02222531418824323,0,1,False
1.51,-9.386001855706352,,-9.386001855706352,1,,,0.03069990721468239,0,1,False
1.52,-9.283110080402109,,-9.283110080402109,1,,,0.035844495979894565,0,1,False
1.53,-9.536012722756508,,-9.536012722756508,1,,,0.023199363862174582,0,1,False
1.54,-8.747864743030952,,-8.747864743030952,1,,,0.06260676284845239,0,1,False
1.55,-9.171503831425918,,-9.171503831425918,1,,,0.04142480842870411,0,1,False
1.56,-8.593442101094084,,-8.593442101094084,1,,,0.07032789494529582,0,1,False
1.57,-9.074407199564536,,-9.074407199564536,1,,,0.046279640021773184,0,1,False
1.58,-8.214005012255152,,-8.214005012255152,1,,,0.08929974938724242,0,1,False
1.59,-8.242233292503675,,-8.242233292503675,1,,,0.08788833537481625,0,1,False
1.6,-8.04419856226174,,-8.04419856226174,1,,,0.09779007188691305,0,1,False
1.61,-7.871021905369066,,-7.871021905369066,1,,,0.10644890473154671,0,1,False
1.62,-8.180405716788247,,-8.180405716788247,1,,,0.09097971416058766,0,1,False
1.63,-8.026515103141517,,-8.026515103141517,1,,,0.09867424484292417,0,1,False
1.64,-8.190148783922428,,-8.190148783922428,1,,,0.0904925608038786,0,1,False
1.65,-8.317224080424326,,-8.317224080424326,1,,,0.08413879597878368,0,1,False
1.66,-8.402414725686464,,-8.402414725686464,1,,,0.0798792637156768,0,1,False
1.67,-8.022858182164468,,-8.022858182164468,1,,,0.0988570908917766,0,1,False
1.68,-7.466578775072273,,-7.466578775072273,1,,,0.12667106124638633,0,1,False
1.69,-7.900509320799965,,-7.900509320799965,1,,,0.10497453396000175,0,1,False
1.7,-7.137636595846837,,-7.137636595846837,1,,,0.14311817020765813,0,1,False
1.71,-7.332750097184309,,-7.332750097184309,1,,,0.13336249514078452,0,1,False
1.72,-6.7022629056733125,,-6.7022629056733125,1,,,0.16488685471633438,0,1,False
1.73,-7.04564912216488,,-7.04564912216488,1,,,0.147717543891756,0,1,False
1.74,-6.62702731246139,,-6.62702731246139,1,,,0.1686486343769305,0,1,False
1.75,-5.990979946724879,,-5.990979946724879,1,,,0.20045100266375604,0,1,False
1.76,-5.741366444309312,,-5.741366444309312,1,,,0.2129316777845344,0,1,False
1.77,-5.637994685652312,,-5.637994685652312,1,,,0.21810026571738442,0,1,False
1.78,-6.034751162893131,,-6.034751162893131,1,,,0.19826244185534345,0,1,False
1.79,-5.130255671683362,,-5.130255671683362,1,,,0.24348721641583188,0,1,False
1.8,-5.715890937903379,,-5.715890937903379,1,,,0.21420545310483105,0,1,False
1.81,-4.460775393608394,,-4.460775393608394,1,,,0.2769612303195803,0,1,False
1.82,-4.8067292367513,,-4.8067292367513,1,,,0.259663538162435,0,1,False
1.83,-5.043791157589824,,-5.043791157589824,1,,,0.2478104421205088,0,1,False
1.84,-4.1743384323294315,,-4.1743384323294315,1,,,0.2912830783835284,0,1,False
1.85,-3.8226223626321563,,-3.8226223626321563,1,,,0.3088688818683922,0,1,True
1.86,-3.6417259441139542,,-3.6417259441139542,1,,,0.3179137027943023,0,1,True
1.87,-3.5661055818373444,,-3.5661055818373444,1,,,0.3216947209081328,0,1,True
1.88,-2.9575155086186795,,-2.9575155086186795,1,,,0.352124224569066,0,1,True
1.89,-2.7260686923407658,,-2.7260686923407658,1,,,0.3636965653829617,0,1,True
1.9,-2.7323114364207934,,-2.7323114364207934,1,,,0.36338442817896033,0,1,True
1.91,-2.746532876909878,,-2.746532876909878,1,,,0.3626733561545061,0,1,True
1.92,-2.8351143220216053,,-2.8351143220216053,1,,,0.35824428389891977,0,1,True
1.93,-1.5234606559065544,,-1.5234606559065544,1,,,0.4238269672046723,0,1,True
1.94,-1.4210523951649856,,-1.4210523951649856,1,,,0.4289473802417508,0,1,True
1.95,-1.5140748485332989,,-1.5140748485332989,1,,,0.424296257573335,0,1,True
1.96,-0.7152520614300087,,-0.7152520614300087,1,,,0.4642373969284995,0,1,True
