time_s,ai_v,ai1_v,di,di0,di1,potentiometer,proximity,switch,limit_ok
11.6,1.094,1.528,0,0,0,0.33151515151515154,0,0,True
11.7,1.094,1.529,0,0,0,0.33151515151515154,0,0,True
11.8,1.094,1.527,0,0,0,0.33151515151515154,0,0,True
11.9,1.094,1.529,0,0,0,0.33151515151515154,0,0,True
12.0,1.092,1.529,0,0,0,0.33090909090909093,0,0,True
12.1,1.09,1.529,0,0,0,0.3303030303030303,0,0,True
12.2,1.098,1.527,0,0,0,0.33272727272727276,0,0,True
12.3,1.094,1.529,0,0,0,0.33151515151515154,0,0,True
12.4,1.094,1.53,0,0,0,0.33151515151515154,0,0,True
12.5,1.363,1.529,0,0,0,0.413030303030303,0,0,True
12.6,1.664,1.529,0,0,0,0.5042424242424243,0,0,True
12.7,1.967,1.529,0,0,0,0.5960606060606061,0,0,True
12.8,2.302,1.534,0,0,0,0.6975757575757576,0,0,True
12.9,2.563,1.531,0,0,0,0.7766666666666667,0,0,True
13.0,2.845,1.53,0,0,0,0.8621212121212122,0,0,True
13.1,3.132,1.528,0,0,0,0.9490909090909092,0,0,True
13.2,3.132,1.531,0,0,0,0.9490909090909092,0,0,True
13.3,3.181,1.53,0,0,0,0.963939393939394,0,0,True
13.4,3.3,1.53,0,0,0,1.0,0,0,True
13.5,3.3,1.529,0,0,0,1.0,0,0,True
13.6,3.3,1.528,0,0,0,1.0,0,0,True
13.7,3.3,1.53,0,0,0,1.0,0,0,True
13.8,3.3,1.53,0,0,0,1.0,0,0,True
13.9,3.3,1.53,0,0,0,1.0,0,0,True
14.0,3.3,1.532,0,0,0,1.0,0,0,True
14.1,3.3,1.53,0,0,0,1.0,0,0,True
14.2,3.3,1.53,0,0,0,1.0,0,0,True
14.3,3.139,1.529,0,0,0,0.9512121212121212,0,0,True
14.4,2.436,1.532,0,0,0,0.7381818181818182,0,0,True
14.5,1.998,1.529,0,0,0,0.6054545454545455,0,0,True
14.6,1.679,1.529,0,0,0,0.5087878787878788,0,0,True
14.7,1.621,1.529,0,0,0,0.4912121212121212,0,0,True
14.8,1.621,1.529,0,0,0,0.4912121212121212,0,0,True
14.9,1.429,1.527,0,0,0,0.43303030303030304,0,0,True
15.0,0.861,1.529,0,0,0,0.2609090909090909,0,0,True
15.1,0.427,1.526,0,0,0,0.1293939393939394,0,0,True
15.2,0.17,1.525,0,0,0,0.05151515151515152,0,0,True
15.3,0.094,1.527,0,0,0,0.028484848484848488,0,0,True
15.4,0.098,1.529,0,0,0,0.0296969696969697,0,0,True
15.5,0.014,1.529,0,0,0,0.004242424242424243,0,0,True
15.6,0.0,1.529,0,0,0,0.0,0,0,True
15.7,0.0,1.53,0,0,0,0.0,0,0,True
15.8,0.0,1.529,0,0,0,0.0,0,0,True
15.9,0.0,1.528,0,0,0,0.0,0,0,True
16.0,0.0,1.527,0,0,0,0.0,0,0,True
16.1,0.013,1.529,0,0,0,0.00393939393939394,0,0,True
16.2,0.473,1.528,0,0,0,0.14333333333333334,0,0,True
16.3,0.824,1.529,0,0,0,0.2496969696969697,0,0,True
16.4,1.129,1.53,0,0,0,0.34212121212121216,0,0,True
16.5,1.319,1.527,0,0,0,0.3996969696969697,0,0,True
