time_s,ai_v,ai1_v,di,di0,di1,potentiometer,proximity,switch,limit_ok
18.4,0.0,1.53,0,0,0,0.0,0,0,True
18.5,0.0,1.529,0,0,0,0.0,0,0,True
18.6,0.0,1.529,0,0,0,0.0,0,0,True
18.7,0.0,1.529,0,0,0,0.0,0,0,True
18.8,0.0,1.53,0,0,0,0.0,0,0,True
18.9,0.0,1.53,0,0,0,0.0,0,0,True
19.0,0.0,1.528,0,0,0,0.0,0,0,True
19.1,0.0,1.529,0,0,0,0.0,0,0,True
19.2,0.0,1.53,0,0,0,0.0,0,0,True
19.3,0.0,1.528,0,0,0,0.0,0,0,True
19.4,0.525,1.529,0,0,0,0.15909090909090912,0,0,True
19.5,1.0,1.529,0,0,0,0.30303030303030304,0,0,True
19.6,1.287,1.529,0,0,0,0.39,0,0,True
19.7,1.49,1.53,0,0,0,0.45151515151515154,0,0,True
19.8,1.507,1.53,0,0,0,0.45666666666666667,0,0,True
19.9,1.508,1.53,0,0,0,0.45696969696969697,0,0,True
20.0,1.753,1.529,0,0,0,0.5312121212121212,0,0,True
20.1,2.215,1.53,0,0,0,0.6712121212121213,0,0,True
20.2,2.988,1.53,0,0,0,0.9054545454545455,0,0,True
20.3,3.3,1.529,0,0,0,1.0,0,0,True
20.4,3.3,1.53,0,0,0,1.0,0,0,True
20.5,3.3,1.53,0,0,0,1.0,0,0,True
20.6,3.3,1.529,0,0,0,1.0,0,0,True
20.7,3.3,1.53,0,0,0,1.0,0,0,True
20.8,3.3,1.53,0,0,0,1.0,0,0,True
20.9,3.3,1.529,0,0,0,1.0,0,0,True
21.0,3.3,1.532,0,0,0,1.0,0,0,True
21.1,3.3,1.534,0,0,0,1.0,0,0,True
21.2,3.3,1.53,0,0,0,1.0,0,0,True
21.3,3.3,1.532,0,0,0,1.0,0,0,True
21.4,3.3,1.53,0,0,0,1.0,0,0,True
21.5,2.865,1.53,0,0,0,0.8681818181818183,0,0,True
21.6,2.286,1.529,0,0,0,0.6927272727272727,0,0,True
21.7,1.923,1.528,0,0,0,0.5827272727272728,0,0,True
21.8,1.683,1.529,0,0,0,0.51,0,0,True
21.9,1.448,1.53,0,0,0,0.4387878787878788,0,0,True
22.0,1.34,1.529,0,0,0,0.4060606060606061,0,0,True
22.1,1.453,1.53,0,0,0,0.44030303030303036,0,0,True
22.2,1.76,1.529,0,0,0,0.5333333333333333,0,0,True
22.3,2.125,1.531,0,0,0,0.6439393939393939,0,0,True
22.4,2.518,1.527,0,0,0,0.7630303030303031,0,0,True
22.5,2.855,1.53,0,0,0,0.8651515151515152,0,0,True
22.6,3.187,1.534,0,0,0,0.9657575757575757,0,0,True
22.7,3.3,1.53,0,0,0,1.0,0,0,True
22.8,3.106,1.53,0,0,0,0.9412121212121213,0,0,True
22.9,2.561,1.53,0,0,0,0.7760606060606061,0,0,True
23.0,2.144,1.53,0,0,0,0.6496969696969698,0,0,True
23.1,1.843,1.525,0,0,0,0.5584848484848485,0,0,True
23.2,1.733,1.534,0,0,0,0.5251515151515153,0,0,True
